URL,Position,Company,Location,Job_Description
https://jooble.org/jdp/-2002147692228746055,Fullstack Software Engineer,Tesla,California,"What To Expect 
 As a junior developer on our team, you’ll help build a system that connects product design and supply chain reality in a meaningful way. Our goal is to ensure design teams have reliable, up-to-date insight into cost, quality and supply chain risk early in the design process, so that informed decisions can be made from day one. At the same time, we are extending Tesla’s system involvement beyond direct suppliers, building visibility and influence across multiple layers of the sub-tier supply chain to create a more resilient and secure ecosystem. To solve problems at this scale, we actively explore advanced technologies, including AI, not as an end in itself, but as a tool to fundamentally rethink how a global enterprise designs and operates its supply chain. 
 What You'll Do 
 Work closely with design, product and supply chain partners to understand problems holistically and contribute to shared outcomesDesign and develop modules with a clear understanding of goals, tradeoffs and user impact—not just implementation detailsApply skills not only in software engineering, but also business judgement and system integration to increase overall impactTake initiative to suggest thoughtful improvements while reliably delivering assigned workLearn how adjacent teams operate and help connect requirements, constraints and solutions across functionsWrite clean, maintainable and well-tested code that follows best practices and supports long-term scalability 
 What You'll Bring 
 Demonstrated ability to build and ship non-trivial web applications using JavaScript, React, and modern frontend patternsExperience designing and implementing backend services (Python preferred), with an understanding of APIs, data flow, and basic system boundariesHands-on experience working with relational databases (MSSQL or PostgreSQL), including schema awareness and query optimization basicsStrong curiosity for complex, real-world systems and the discipline to reason about tradeoffs, constraints, and failure modesAbility to break down ambiguous business problems into well-scoped, modular engineering solutions and iterate on them with feedback 
 Benefits 
 Compensation and Benefits 
 Along with competitive pay, as a full-time Tesla employee, you are eligible for the following benefits at day 1 of hire: 
 Medical plans > plan options with $0 payroll deduction Family-building, fertility, adoption and surrogacy benefits Dental (including orthodontic coverage) and vision plans, both have options with a $0 paycheck contribution Company Paid (Health Savings Accounts) HSA Contribution when enrolled in the High-Deductible medical plan with HSA Healthcare and Dependent Care Flexible Spending Accounts (FSA) 401(k) with employer match, Employee Stock Purchase Plans, and other financial benefits Company paid Basic Life, AD&D Short-term and long-term disability insurance (90 day waiting period) Employee Assistance Program Sick and Vacation time (Flex time for salary positions, Accrued hours for Hourly positions), and Paid Holidays Back-up childcare and parenting support resources Voluntary benefits to include: critical illness, hospital indemnity, accident insurance, theft & legal services, and pet insurance Weight Loss and Tobacco Cessation Programs Tesla Babies program Commuter benefits Employee discounts and perks program 
 Expected Compensation 
$120,000 - $252,000/annual salary + cash and stock awards + benefits 
 Pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment. 
 , Tesla"
https://jooble.org/jdp/-8410973537173026703,Fullstack Software Engineer,Dynamic,Remote,"FullStack Software Engineer 

 Our product: 
 What we are looking for: 

 You will be a fantastic fit for this role if: 

 Nice to Haves: 

 You will: 

 Compensation"
https://jooble.org/jdp/-6144103335463185801,"26-1084 - Full Stack Software Engineer - Herndon, VA",Navitas,"Herndon, VA","Who We Are  : 
 Since our inception back in 2006, Navitas has grown to be an industry leader in the digital transformation space, and we’ve served as trusted advisors supporting our client base within the commercial, federal, and state and local markets. 
 What We Do  : 
 At our very core, we’re a group of problem solvers providing our award-winning technology solutions to drive digital acceleration for our customers! With proven solutions, award-winning technologies, and a team of expert problem solvers, Navitas has consistently empowered customers to use technology as a competitive advantage and deliver cutting-edge transformative solutions. 
 What you'll do: 
 You will build and enhance full stack applications by developing React front-end features and creating backend services with Node.js and Spring Boot. You will set up and maintain REST APIs and microservices, then deploy and operate them in AWS (including Lambda and other cloud services) using Docker/Kubernetes. You will design and work with SQL/NoSQL databases (PostgreSQL/Oracle/Aurora/DynamoDB) to support application data and analytics needs. You will work closely with the team in an Agile/DevSecOps environment, using Git/Jenkins and standard SDLC practices, and help guide others through code reviews and technical mentorship. 
 Responsibilities:  Proven experience as a Full Stack Engineer, with a strong focus on or React and Node.js, Spring boot and a minimum of 3+ years of working experience.  Solid understanding of cloud-native development principles and experience with cloud platforms like AWS.  Ability to develop and maintain responsive web applications ensuring high performance, usability, and scalability.  Proficiency in front-end technologies such as HTML, CSS, JavaScript (ES6+), and related libraries.  Experience with AWS services like Lambda, EC2, EMR, Redshift, Glue, S3, IAM, RDS, Aurora, DynamoDB etc.  Hands-on experience in relational databases (Oracle, PostgreSQL, RDS, Amazon Aurora, SQL Server are desirable) Strong problem-solving skills and the ability to think critically and analytically.  Utilize programming languages like Java, Python, SQL, Node, Go, and Scala, Open-Source RDBMS and NoSQL databases, Aurora Container Orchestration services including Docker and Kubernetes, and a variety of AWS tools and services.  Strong experience with Databases design (SQL, NoSQL) and analytics  Mentor others in development technologies, tools, and processes.  Excellent communication skills and the ability to work effectively in a collaborative team environment.  Understanding of RESTful application programming interface (APIs) and how web-browser works  Experience building out design systems, pattern libraries, and/or style guides is a plus. 

 Candidate must have an active Secret Clearance  BS Degree and 3+ years of prior relevant experience  Expert knowledge of full-stack development in Java, Spring Boot, JavaScript, Python, Bootstrap, Angular, ReactJS .  Utilize programming languages like Java, Python, SQL, Node, Go, and Scala, Spring boot, Open-Source RDBMS and NoSQL databases, Container Orchestration services including Docker and Kubernetes, and a variety of AWS tools and services.  Expert understanding of microservices architecture and cloud implementations, using Amazon Web Services, 3+ years of experience setting up and working with Amazon Web Services (AWS) environments, especially AWS Lambda and other serverless technologies.  Solid knowledge of Kubernetes platform including migration activities.  Use of industry leading tools like Git, GitHub, Jenkins, Unix bash scripting  Expert knowledge of the software development lifecycle  In-depth experience with common Agile practices, service-orientated environments, and better development practices  In-depth experience working in an Agile environment.  Understanding of RESTful application programming interface (APIs) and how web-browser works  Experience building out design systems, pattern libraries, and/or style guides is a plus.  Solid understanding of cloud-native development principles and experience with cloud platforms like AWS is a plus. D8 Excellent communication skills (written and verbal). 
 Solid knowledge of Java development  Solid knowledge of AWS application migration  Well versed with using version control systems  Well versed with using issue/problem tracking systems  Strong communication skills"
https://jooble.org/jdp/-3672679796183857673,Fullstack Visualization Software Engineer,Woven by Toyota,Michigan,"Woven by Toyota is enabling Toyota’s once-in-a-century transformation into a mobility company. Inspired by a legacy of innovating for the benefit of others, our mission is to challenge the current state of mobility through human-centric innovation — expanding what “mobility” means and how it serves society. 
 Our work centers on four pillars: AD/ADAS, our autonomous driving and advanced driver assist technologies; Arene, our software development platform for software-defined vehicles; Woven City, a test course for mobility; and Cloud & AI, the digital infrastructure powering our collaborative foundation. Business-critical functions empower these teams to execute, and together, we’re working toward one bold goal: a world with zero accidents and enhanced well-being for all. 
 TEAM 
 The Advanced AD/ADAS team focuses on developing a scalable, data-driven approach to autonomous and assisted driving software. We collaborate with partners across Toyota, offering numerous opportunities to integrate cutting-edge technology into consumer vehicles globally. To continuously improve and thoroughly test our driving systems, we build developer workflows that leverage real-world data and in-house simulation technologies. A critical part of these widely used workflows are modern data analytics and visualization web applications to analyze large-scale driving data and metrics from our on-road fleet and Simulation experiments, including lidar, video, geospatial data, and 3D visualization. 
 Who Are We Looking For 
 We are seeking an experienced Fullstack Engineer with a strong emphasis on modern web technologies for data streaming applications. The ideal candidate will also have experience with cloud infrastructure and large-scale data processing and data streaming. They will be responsible for driving the design, development, and deployment of the frontend and backend for multiple data analytics & visualization web applications. By championing best practices, collaborating with cross-functional teams, and mentoring developers, you will play a key role in building our mission-critical AD/ADAS web tools. 
 Responsibilities 
 Full-stack web application development: Design and implement global distributed React-based web applications and backend services for data streaming visualization in AD/ADAS development workflows.  Optimize components for maximum performance, especially for real-time data aggregation and streaming to support visualization.  Engage in fullstack web development in frontend, backend, APIs, and data ingestion pipelines. 
 Teamwork 
 Collaborate closely with the Product team and internal customers to optimize workflows and user experience.  Work with backend engineers to design interfaces and land end-to-end value. 
 Mentorship & Leadership 
 Offer guidance and mentorship to junior developers and interns on the team.  Experience with the full software lifecycle including requirements gathering, design, implementation, testing, documentation, release, and maintenance. 
 Testing & Quality Assurance 
 Implement robust testing using tools to ensure component and application reliability.  Promote best practices, conduct code reviews, and ensure consistency and quality across the codebase. 
 Experience 
 Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 3+ years of professional full-stack web development experience in React-based frontends, web backends, and data pipelines.  Technical Expertise  Extensive experience with the React ecosystem and its core principles, including hooks, context, the component lifecycle, popular React workflows (e.g., Redux, Recoil), and routing (e.g., React Router).  Extensive experience with web backend technologies.  Proficiency in HTML5, CSS3, JavaScript (ES6+), TypeScript  Experience with NodeJS-based web services.  Experience with cloud computing (AWS, Microsoft Azure, or Google Cloud) Experience with packaging and distributing applications built with Electron, containerization of applications.  Experience using WebSockets for real time data streaming 
 Preferred Qualifications 
 Infrastructure-as-code (IaC), esp. Terraform  C++-based WebAssembly applications with Bazel  Bundlers (e.g., Webpack) Data storage solutions and ETL 3D rendering, WebGL 
 Soft Skills 
 Exceptional problem-solving and debugging capabilities.  Strong communication skills, both written and verbal.  Experience in writing clear, concise technical documentation. 
 For positions based in Palo Alto, CA, the base pay ranges from $112,000 to $184,000 per year. 
 Your base salary is one part of your total compensation. We offer a base salary, short term and long term incentives, and a comprehensive benefits package. The total compensation offered to an employee will be dependent upon the individual's skills, experience, qualifications, location, and level. 
 What We Offer 
 We are committed to creating a modern work environment that supports our employees and their loved ones. We offer many options of the best programs to allow you to do your most meaningful work and to help you shape the future of mobility. 
・Excellent health, wellness, dental and vision coverage 
・A rewarding 401k program 
・Flexible vacation policy 
・Family planning and care benefits 
 Our Commitment 
・We are an equal opportunity employer and value diversity. 
・Any information we receive from you will be used only in the hiring and onboarding process. Please see our privacy notice for more details."
https://jooble.org/jdp/8867238785153059114,Fullstack Software Engineer,Candid Health,"Denver, CO","The Opportunity 
 What you’ll be doing 

 Who you are 

 Pay Transparency"
https://jooble.org/jdp/4111309519616971915,Full-Stack Go Software Engineer,"Trend Capital Holdings, Inc.","Vancouver, WA",
https://jooble.org/jdp/5931343482088474099,E3n - Full Stack Software Engineer,TalentED Advisors,United States,"About the Opportunity 

 Architecture & Technical Design  Architect enterprise-level solutions with a focus on security, scalability, and performance  Solve complex performance issues and architectural challenges  Produce detailed technical specifications  Follow industry best practices and established architectural standards  Development & Engineering Execution  Build efficient, testable, and reusable modules  Write clean, well-designed, maintainable code  Develop and deploy new features to support business procedures and internal tools  Contribute to all phases of the software development lifecycle  Systems Integration & Data Management  Integrate user-facing elements developed by front-end developers  Integrate data storage solutions and backend services  Ensure seamless interaction across systems and platforms  Requirements Analysis & Process Improvement  Analyze, define, and prioritize business requirements  Translate business needs into technical solutions that improve workflows and processes  Documentation & Knowledge Management  Create and maintain technical documentation  Document architecture, integrations, and development standards 

 Purpose with impact.  Our work directly supports educators, school leaders, and families nationwide. The decisions we make—and the tools we build—matter.  Smart, thoughtful colleagues.  You’ll work alongside people who care deeply about education, ask good questions, and value collaboration, clarity, and integrity.  Whole-person thinking.  Just as we help schools understand the full student journey, we strive to support employees as whole people—recognizing that strong work is sustained by balance, trust, and belonging.  Growth during a moment of transformation.  E3n is actively evolving. That means opportunities to shape systems, influence direction, and grow alongside an organization defining its future.  Values-driven, data-informed  . We balance heart and rigor—grounding our work in evidence while staying anchored in empathy, equity, and real-world impact. 

 AWS Certified Cloud Practitioner  Bachelor’s degree in Computer Science, or related IT field 5+ years designing and implementing enterprise applications  Languages & Frameworks  Angular / TypeScript  Node.js  Python (3+) Django Framework  Frontend Technologies  Bootstrap  Backend & APIs  REST API design and development  Databases  PostgreSQL 

 Django REST Framework  Celery 
 AWS (Certified Cloud Practitioner or equivalent experience)
 JIRA 
 PHP, C#, or Java"
https://jooble.org/desc/6711212706694077316,Full stack software engineer,MORSE Corp,"Cambridge, MA","U.S. Citizenship and the capability to secure a U.S. Security Clearance (Secret or Top Secret) Over 5 years of experience in software engineering  Proficiency with React and front-end development  Strong background in Python programming  Familiarity with cloud technologies, including AWS, Azure, or GCP  Skilled with Docker and Kubernetes  Experience in Agile development methodologies  Bachelors or Masters degree in computer science or a related field, or substantial professional experience  Responsibilities:  Design and sustain web applications hosted on cloud infrastructure  Collaborate with infrastructure engineers to package applications for cloud deployment  Create user interface designs based on specifications  Develop backend APIs that connect with cloud services  Work in tandem with team members to conceptualize, create, and launch software applications  Keep abreast of the latest trends in web development and cloud computing  Contribute to the establishment of new codebases that are object-oriented, scalable, and maintainable  Technologies:  AWS  Azure  Backend  Cloud  Docker  GCP  Kubernetes  Python  React  Security  Web  Big Data  DevSecOps  DevOps  Machine Learning  Terraform  Fullstack"
https://jooble.org/jdp/-3336881026705678148,Full Stack Software Engineer,Anthem Engineering,"Hanover, MD","U.S. citizenship  Comfort with Linux/Unix operating systems  Front end web development experience, preferably in JavaScript / TypeScript  Java and/or C++ experience  Experience creating service APIs with  and/or WebSockets  Experience evaluating technologies 
 Experience with containerization technologies, such as Docker, Podman, and Kubernetes  Experience deploying solutions to cloud hosting solutions  Experience using Git source control  Experience with CI pipelines  Knowledge of Agile/Lean/Scrum methodologies  Experience using various types of databases, including SQL  Experience with streaming or messaging technologies  Strong automated testing skills, including experience with Karma, Jasmine, Jest, or GoogleTest  Experience with data visualization in a Geographic Information System  Experience with low latency full motion video in web browsers 
 Project team works core business hours  On site work with possibility of hybrid depending on tasking  Business casual 
 We realize that we all spend a considerable amount of time at work so it had better be fun! Do work you feel good about. Our mission is to save lives and taxpayer dollars. We work to enable the mission and create reusable capabilities that can be leveraged across a diverse customer set.  We're always learning new technologies, frameworks, and tools so we can use the right ones for the emerging problems.  You're not just another cog in a machine. We're invested in your growth as an individual, technical and otherwise. Everyone has a voice and is valued.  Small companies are important to us. We enjoy the closeness, directness, and efficiency of working in a small company environment"
https://jooble.org/jdp/265199874426537469,Full Stack Software Engineer,"SixGen, Inc.",Remote,"ABOUT THE TEAM 
 WHAT YOU’LL DO  Design, develop, and maintain full stack applications, including both front-end interfaces and back-end services/APIs.  Collaborate with cross-functional teams to gather requirements, define solutions, and deliver scalable, secure software.  Write clean, efficient, and maintainable code using modern frameworks and programming languages.  Implement data processing, user authentication, and secure communication features in compliance with government standards.  Participate in software integration, testing, debugging, and deployment within mission-critical environments.  REQUIRED QUALIFICATIONS  US Citizen with the ability to obtain a US Government Security clearance up to the Secret or TS level  Proficiency in front-end technologies (e.g., React, Angular, HTML/CSS/JavaScript) and back-end languages (e.g., Python, Java, Node.js, C++).  Experience working in Linux-based environments and with RESTful APIs, databases, and version control tools (e.g., Git). 
 Familiarity with secure coding practices and the full software development lifecycle (SDLC).  Strong analytical, communication, and collaboration skills.  Experience supporting DoD software development efforts.  Knowledge of DevSecOps, CI/CD pipelines, and containerization (e.g., Docker, Kubernetes).  Familiarity with Agile/Scrum methodologies and tools like Jira, Confluence, and GitLab CI.  US Salary Range 

 Employer-paid health insurance premiums (medical, dental, vision) for you and your family  Employer-paid short/long term disability insurance and basic life/AD&D insurance 401K with a 4% employer contribution  Professional development reimbursement options available (training, certification, education, etc)​ Flexible and remote work policies for most positions  Flexible PTO and holiday schedule"
https://jooble.org/jdp/35737038302148202,Fullstack Software Engineer,"TWO95 International, Inc",Malaysia,"Requirements 

 Benefits"
https://jooble.org/jdp/-6686928537689065395,Fullstack Software Engineer,BLAST,Denmark,"Requirements 
 Play a key role in every aspect of the development process.  Partner with stakeholders and product managers to define and deliver highly-scalable solutions.  Build and deploy products and services based on the newest cloud technologies.  Identify opportunities to improve our existing systems continuously.  Be responsible, keep the scope and deliver iteratively.  Discover and introduce new technologies to BLAST. 

 Benefits 
 An opportunity to help build a new product offering, without a lot of legacy.  Working on a wide array of gaming-related projects.  Competitive salary package.  A varied workday with a team of awesome colleagues.  Time to innovate and research technologies and learn new things."
https://jooble.org/jdp/-9129249259912447175,Full Stack Software Engineer,Pinnacle Group,"McLean, VA","Job Title: Associate Java Full Stack Developer 
Location: Mclean, VA (Fully Onsite)
Duration: Contract TO HIRE
Job id – 175603
Must Have Qualifications: 
Ideal candidate will have a strong software development background with hands-on experience in Java, SQL and Angular, along with the ability to contribute in a development capacity. 
Excellent communication skills are essential and prior experience with Freddie Mac is highly preferred. 
Candidate should have at least 2 years of relevant experience with 3+ years preferred. 
Qualifications 
• 3+ years’ experience in Information Technology. 
• Bachelor’s degree in computer science, Information Systems or other related field or 
equivalent working experience. 
Experience with the below is required: 
• Hands-on experience in design, implementation and production support of Java/J2EE 
applications, Angular, Java Script, Python, AWS, relational databases, SQL, GitHub Co
Pilot. 
• Hands-on experience in Spring Framework (Spring Boot), CI/CD frameworks, Apigee, 
Autosys/Shell scripting. 
• Hands-on Selenium and/or Cypress development experience, for test automation. 
• Strong technical and analytical skills with the ability to analyze system functionality with 
customers and resolve production issues. 
• Experience in applying Object Oriented Analysis and Design principles. 
• Practical experience designing and building enterprise and/or distributed systems. 
• Demonstrates ability to analytically address complex problems, process critical data, 
establish facts and draw quality conclusions. 
• Ability to work well under pressure, some tight deadlines and with ambiguity on some 
projects. 
• Experience with systems and software architecture.
About PTR Global: PTR Global is a leading provider of information technology and workforce solutions. PTR Global has become one of the largest providers in its industry, with over 5000 professionals providing services across the U.S. and Canada. For more information visit www.ptrglobal.com
At PTR Global, we understand the importance of your privacy and security. We NEVER ASK job applicants to:Pay any fee to be considered for, submitted to, or selected for any opportunity.Purchase any product, service, or gift cards from us or for us as part of an application, interview, or selection process.Provide sensitive financial information such as credit card numbers or banking information. Successfully placed or hired candidates would only be asked for banking details after accepting an offer from us during our official onboarding processes as part of payroll setup.Pay Range: $55-60/hr.
The specific compensation for this position will be determined by several factors, including the scope, complexity, and location of the role, as well as the cost of labor in the market; the skills, education, training, credentials, and experience of the candidate; and other conditions of employment. Our full-time consultants have access to benefits, including medical, dental, vision, and 401K contributions, as well as PTO, sick leave, and other benefits mandated by applicable state or localities where you reside or work.
